city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Caboolture,0.8331671741137653,0.8237076608634467,Australia,AU,Queensland,,0.0085838974643573,0.0192384506031097,-0.040933883321379025,1.6572237322425545,0.018046850464571242
Ballina,0.5394315522635666,0.8835270106047571,Australia,AU,New South Wales,,0.0083796136646946,-0.0815165285936597,-0.08302057516501311,1.423282575510922,-0.3381212183880689
Taree,0.0295260662859807,0.7690959642075048,Australia,AU,New South Wales,,0.0083796136646946,-0.024816567212274,-0.018574858729411517,0.8025110591969636,-0.7359728285308587
Traralgon,-1.0172874331165327,0.1448430749858343,Australia,AU,Victoria,,0.004859646655121,0.0127825570193782,0.0703708255054077,-0.8651509435906803,-1.1663905234260799
Busselton,-0.2610836472144022,-3.1502914923907577,Australia,AU,Western Australia,,0.0042467952561328,0.0144869129254833,0.07853449994020549,-3.4265925822498713,2.8734771955788507
Armidale,0.2623064753147804,0.6845904374671751,Australia,AU,New South Wales,,0.0010057542037911,0.010936171454431,-0.018774042164413324,0.9493619102585827,-0.4175711121320769
Goulburn,-0.445129814895816,0.470009778691786,Australia,AU,New South Wales,,-0.0016224354495623,0.0019624793730442,0.017921445258017896,0.030058914826961703,-0.9152463298012162
Alice Springs,1.392954176311809,-1.1938934796344978,Australia,AU,Northern Territory,,-0.0020506457219323,0.0075877146490022,-0.06077918741877001,0.18434280047227436,2.588491437507208
Devonport,-1.5135752651659342,0.124361047942145,Australia,AU,Tasmania,,-0.0047220492559837,0.0046610428910439,0.08406593042752226,-1.3796805007703583,-1.6451796908510257
Bacchus Marsh,-0.9306931209578188,-0.0771318173793328,Australia,AU,Victoria,,-0.0079552332391076,-0.0670079837464872,0.007979442027015128,-1.004468755489307,-0.8598071895568843
Whyalla,-0.1589096748228325,-0.8030554184604654,Australia,AU,South Australia,,-0.009844858385988,-0.0009512805977465,0.010144826805231216,-0.9658705802642695,0.639338441083749
Cessnock,-0.1258049752245234,0.6534818404358905,Australia,AU,New South Wales,,-0.0099116434743393,-0.0292065748492114,-0.031274919994717244,0.530963124027732,-0.7775209474661092
Gympie,0.9789375916820144,0.7918596404731838,Australia,AU,Queensland,,-0.0104066388350606,-0.0480319605393724,-0.10971643424188078,1.767888583609663,0.19489455439527367
Griffith,-0.3678633462703278,0.0919954312005984,Australia,AU,New South Wales,,-0.0157023034878565,-0.0162130130296878,-0.007356733609137845,-0.27420681604199715,-0.4619139931586095
Kwinana,-0.0269065557314305,-3.105461310455011,Australia,AU,Western Australia,,-0.0163505116983249,-0.018997655128804,0.020988976546508067,-3.1503182658492017,3.063289057962111
Burnie,-1.4941214738399564,0.0745978558829345,Australia,AU,Tasmania,,-0.0191044144591631,-0.0110956413823166,0.05802072494025064,-1.4113313889627799,-1.5766517498477775
Wangaratta,-0.7117631462662329,0.1207801262465247,Australia,AU,Victoria,,-0.0193676262779593,-0.0197379309264052,0.0060981813563438046,-0.5873608454995575,-0.8363660379542124
Grafton,0.3981005896389384,0.8201478655495091,Australia,AU,New South Wales,,-0.0203104745840951,-0.0497320125164217,-0.08850101402022192,1.2184664735729354,-0.4173407521186895
Yeppoon,1.4871803604522529,0.5877576670135984,Australia,AU,Queensland,,-0.0206051146797625,-0.0672662194898364,-0.1591678381010762,2.0670593076940933,0.9083931769837112
Murray Bridge,-0.5053700593180545,-0.6234494845647333,Australia,AU,South Australia,,-0.0214851064321559,-0.0318620990766529,-0.0036486755601566057,-1.1308374301075697,0.1116307001169155
Mount Isa,1.8862324902159096,-0.5988372499016112,Australia,AU,Queensland,,-0.0222354565424557,-0.0940194425008197,-0.18108147154651255,1.2700324515412649,2.490152784403994
Narangba,0.8107537461587068,0.8235492130008063,Australia,AU,Queensland,,-0.0222943845615891,-0.0145904317756433,-0.09477812164124386,1.632735883346381,-0.005519740787449458
Mount Eliza,-1.016156785415536,-0.0081436179866922,Australia,AU,Victoria,,-0.024985430768685,-0.0175386231788807,0.020785338694951406,-1.0197815061373363,-1.0141039180959859
Broken Hill,0.0200984597203138,-0.3909747805020795,Australia,AU,New South Wales,,-0.0255904250984554,-0.0182014282534771,-0.0350202010803864,-0.3746298313897742,0.40849708789373534
Nerang,0.6787173727231567,0.8612069883544677,Australia,AU,Queensland,,-0.0290082502081976,-0.0219458465320414,-0.09962271928716465,1.5389000664724748,-0.17597653774929778
Karratha,1.8857170478816316,-2.9917802506075803,Australia,AU,Western Australia,,-0.0296211016071859,-0.0226172594647494,-0.11043116076976721,-1.1353712106652671,4.872221842577963
Mount Barker,-0.4970065917650911,-0.6674979903781313,Australia,AU,South Australia,,-0.0299314558412889,-0.0349523201387324,-0.014973443045543069,-1.1672459137638946,0.1636374875059749
Horsham,-0.7713549309776063,-0.3136310971529934,Australia,AU,Victoria,,-0.0303832373213123,-0.0319352658706019,-0.003269979757311551,-1.08412267430037,-0.4643065268922885
Lara,-0.98750816793292,-0.0794768457463768,Australia,AU,Victoria,,-0.0310078743241272,-0.0241365464214542,0.009477103292453451,-1.06342572656078,-0.9145407235877641
Singleton,-0.0813272899279482,0.6338554318504485,Australia,AU,New South Wales,,-0.0310432311356073,-0.0730076608503016,-0.08323824819820992,0.5536152430865932,-0.7143806885360142
Port Lincoln,-0.4413887011792816,-0.983485281241916,Australia,AU,South Australia,,-0.0311218018277853,-0.0337558278612142,-0.013909286185481014,-1.429701993043584,0.5340431595428206
Banora Point,0.6409903192884175,0.8840868597194125,Australia,AU,New South Wales,,-0.0317464388306003,-0.0249456850839486,-0.1026637162803699,1.524219962757834,-0.236776612960966
Warwick,0.6422041028497821,0.7252798485926444,Australia,AU,Queensland,,-0.0348381955678038,-0.0419246852091624,-0.11358224697634699,1.365264032544366,-0.077795694014875
Rochedale,0.7452925697053937,0.8402179281503376,Australia,AU,Queensland,,-0.0350856932481645,-0.0286040247813964,-0.11405264255657104,1.5835740053692307,-0.08840350677055694
Kempsey,0.1653201806101381,0.8095846747069683,Australia,AU,New South Wales,,-0.0351171215250357,-0.0924872437569475,-0.11643745986617415,0.9749129713351211,-0.6417393154100983
Ulladulla,-0.5438785898402474,0.5597123953266506,Australia,AU,New South Wales,,-0.0352389060979115,-0.0287718780145735,-0.03424443182958423,0.01998520105152886,-1.10500512980726
Sale,-1.001358602270134,0.200447711580972,Australia,AU,Victoria,,-0.0358006865469841,-0.0356796841491661,-0.0063419133158060205,-0.7961848856506339,-1.2073533655326047
Echuca,-0.6743520091008899,-0.0442697306681853,Australia,AU,Victoria,,-0.0365903220033728,-0.0340872303985124,-0.021638894769030102,-0.7171735500799689,-0.6350875465744634
Australind,-0.1997958909515349,-3.111292191800094,Australia,AU,Western Australia,,-0.0381420931738879,-0.0319524815868252,-0.0014041389527697633,-3.329266117852912,2.894620830520885
Broome,2.347037937060493,-2.4224559537671246,Australia,AU,Western Australia,,-0.0385113754271244,-0.0771308248857781,-0.1882404464649963,-0.10585577879584691,4.768285894771653
Port Hedland,1.9566153096029748,-2.8064279408935056,Australia,AU,Western Australia,,-0.0390024422532368,-0.0765368826760748,-0.15947017493104457,-0.880049975634099,4.758035907056762
Warragul,-1.0096721883068762,0.0807245065716078,Australia,AU,Victoria,,-0.0391752977760284,-0.0330844149285061,-0.0063534642982183,-0.9249216772088674,-1.096589272868212
Port Pirie,-0.1842661122348988,-0.7554999332873443,Australia,AU,South Australia,,-0.0395210088216115,-0.0936880399635215,-0.07688544196585696,-0.9464741056268943,0.5645449479110315
Barwon Heads,-1.0262993603803623,-0.068913654903836,Australia,AU,Victoria,,-0.0396113651176162,-0.0335621510537022,-0.003784067215197275,-1.0919367674556153,-0.9643782808047805
Emerald,1.4234317827225085,0.3148787579782244,Australia,AU,Queensland,,-0.0397920777096255,-0.03376013179027,-0.15391502923022923,1.7291699773731741,1.115926633982555
Ulverstone,-1.5112640882477195,0.1053789939980984,Australia,AU,Tasmania,,-0.0398313630557145,-0.0338031710808282,0.02151121601441479,-1.3987974201782565,-1.625322676832658
Morwell,-1.02352262264409,0.1300229182337491,Australia,AU,Victoria,,-0.0401574314282532,-0.0352578991016957,-0.008710398731531274,-0.8892095891007963,-1.1596324533418096
